"reportDate","payload.appt_num","payload.developer_group_name","payload.typed_volume_pct","payload.total_living_floor_size","payload.developer_group_id","payload.object_count","payload.total_living_floor_size_pct"
2019-05-01,1474,"Холдинг Кирово-Чепецкое управление строительства",74.69,69517,"755122001",10,0.0492709489
2019-05-01,1266,"Компания Козерог",100,69380,"5823021001",5,0.0491738487
2019-05-01,961,"Крован-КМВ",83.54,69288,"5830620001",10,0.0491086426
2019-05-01,1039,"Специализированный застройщик Мегаполис-Строй",0,69222,"3104931001",7,0.0490618644
2019-05-01,1488,"Группа компаний СЭТТЭ",77.26,69120,"604514001",11,0.0489895708
2019-05-01,1353,"АПРИ Флай Плэнинг",53.28,68968,"5392618001",25,0.0488818391
2019-05-01,1374,"МД Групп",72.46,68857,"866259001",4,0.0488031666
2019-05-01,1500,"Группа компаний КС Альфа",88.17,68830,"523433001",9,0.04878403
2019-05-01,1097,"АНГ-Холдниг",100,68815,"3527649001",5,0.0487733986
2019-05-01,1459,"Т-Строй",0,68813,"10114496001",4,0.0487719811
2019-05-01,1302,"Группа компаний БФА-Девелопмент",0,68744,"1865811001",12,0.0487230766
2019-05-01,1264,"Группа компаний Острова",0,68699,"827094001",4,0.0486911823
2019-05-01,1292,"Строительная группа Развитие",20.13,68692,"404192001",10,0.048686221
2019-05-01,1345,"Девелоперская компания Новый город",100,68490,"451557001",3,0.0485430512
2019-05-01,1559,"Группа Компаний СМУ1 Ростов",62.81,67852,"4495789001",10,0.0480908616
2019-05-01,1669,"Группа компаний Отрада",17.51,67850,"4963143001",3,0.0480894441
2019-05-01,1675,"Строительная компания Мегаполис",0,67452,"5726360001",3,0.0478073572
2019-05-01,1398,"Группа компаний Капстрой",7.04,67205,"5351024001",4,0.0476322931
2019-05-01,1177,"ТРЕСТ ЛИПЕЦКСТРОЙ",100,67192,"5834399001",4,0.0476230793
2019-05-01,1284,"Группа компаний Расцветай",11.98,66933,"5799295001",7,0.0474395101
2019-05-01,1103,"Строительная компания Спектр-М",100,66798,"5868868001",8,0.0473438274
2019-05-01,1363,"Производственное предприятие железо-бетонных конструкций-3",100,66565,"1120553001",4,0.047178686
2019-05-01,1228,"Группа компаний КРАЙС",58.57,66412,"454936001",15,0.0470702456
2019-05-01,1271,"Тирос-инвест",100,66114,"4968723001",4,0.0468590347
2019-05-01,1337,"Строительная компания Стройкомплекс",82.98,65931,"5833970001",7,0.0467293314
2019-05-01,1222,"Группа компаний Новый Мир Химметалл",20.12,65867,"455065001",9,0.0466839707
2019-05-01,1122,"Рыбоводстрой",100,65808,"5574561001",18,0.0466421538
2019-05-01,936,"Группа Компаний Ташир",24.3,65765,"430966001",3,0.0466116771
2019-05-01,1198,"DARS Development",0,65710,"7537722001",6,0.0465726952
2019-05-01,1289,"Стройжилсервис",100,65659,"6023898001",6,0.0465365484
2019-05-01,1753,"Холдинговая компания ЭРА",0,65612,"6815913001",2,0.0465032366
2019-05-01,1074,"Строительная компания СибЛидер",20.44,65548,"5796647001",9,0.0464578759
2019-05-01,1445,"Девелоперская Корпорация АНТЕЙ",0,65512,"5567181001",28,0.0464323605
2019-05-01,1173,"Группа компаний Континент",44.24,65467,"5829302001",26,0.0464004663
